СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140012092;Z2U1BFDB800273T;304140012092;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";130012702;JMX151640E8;303130012702;Ремонт;
СКЛАД;СКЛАД;;Ноутбук;"HP 630";130022939;5CB13800W7;303130022939;Хранение;
СКЛАД;СКЛАД;;Монитор;"BenQ Model Q7T4";130013109;ETL9701488SLO;303130013109;Ремонт;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01091;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";1300127701;JMX151640DL;303130012701;Хранение;
СКЛАД;СКЛАД;;Ноутбук;"HP 630";130015998;5CB119327L;303130015998;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP L1706";124468;CNN6281LF9;30*1*00808;Списание;
СКЛАД;СКЛАД;;МФУ;"Xerox M20i";140004296;CNC50101K5;304140004296;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";152876;CZC73541PB;30*1*01279;Ремонт;
СКЛАД;СКЛАД;;Коммутатор;"Cisco 2960";;;;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01356;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";123119;CZC6343F57;30*1*00647;Списание;
СКЛАД;СКЛАД;;Монитор;"HP L1702";006785;CNT41971KJ;30*1*00161;Списание;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140008492;Z2U1BAAB201796;304140008492;Хранение;
СКЛАД;СКЛАД;;Ноутбук;"HP 630";130015933;5CB119326W;303130015933;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";130015349;;303130015349;Хранение;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140012093;Z2UIBFDB800101Z;304140012093;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01563;Хранение;
СКЛАД;СКЛАД;;Ноутбук;"HP 630";130016035;5CB11932BC;303130016035;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";130015496;JMX1525418K;303130015496;Хранение;
СКЛАД;СКЛАД;;"3G роутер";Мегафон;;DQ6RAB1042400361;;Хранение;
СКЛАД;СКЛАД;;Монитор;?;130013293;;303130013293;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140010418;W3019207501;303140010418;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140010417;W3019207408;303140010417;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019106;3CQ120B1M6;303130019106;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019107;3CQ109BRFN;303130019107;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019104;3CQ120B1N8;303130019104;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019105;CNC120QBNV;303130019105;Хранение;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140008059;Z2U1BFFB202645F;304140008059;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";1300115347;JMX152640G8;3031300115347;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7800";130007336;CZC8326FBB;30*1*01628;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP d530";100965;CZC42800L0;30*1*00176;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";141392;CZC70925QN;30*1*01009;Списание;
СКЛАД;СКЛАД;;Монитор;"HP L1706";159201;CNT73100LB;30*1*01351;Списание;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX-4220";140006220;9С66BFFZ800082K;30*1*01906;Списание;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019189;3CQ119BNXX;303130019189;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019191;3CQ119BNX4;303130019191;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019190;3CQ119BNVT;303130019190;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019192;3CQ119BNXQ;303130019192;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140010815;CNT63506VK;304140010815;Хранение;
СКЛАД;СКЛАД;;Коммутатор;"Cisco 2960";;;;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140010814;;304140010814;Хранение;
СКЛАД;СКЛАД;;Ноутбук;"HP 630";130015917;5CB11932CV;303130015917;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";130015350;JMX1525406X;303130015350;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP L1706";123258;cnt6251old;30*1*00743;Списание;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01382;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";152875;CZC7354SL5;30*1*01278;Списание;
СКЛАД;СКЛАД;;Принтер;"HP LJ 4350";156807;CNHXC94617;30*1*01289;Списание;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140008507;Z2U1BFFB203016V;304140008507;Ремонт;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01564;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";149874;CZC7252YB4;30*1*01131;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";149877;CZC7252Y7X;30*1*01134;Списание;
СКЛАД;СКЛАД;;Принтер;"HP LJ 4350";150057;CNHXC94120;30*1*01149;Списание;
СКЛАД;СКЛАД;;Коммутатор;"Cisco 2960";139558;FCZ110770QH;30*1*01152;Хранение;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140008286;Z2U1BAAB202034R;304140008286;Хранение;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 5315F";141380;8D66BCL900054E;30*1*00997;Списание;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01011;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";141388;CZC70927FL;30*1*01005;Списание;
СКЛАД;СКЛАД;;Принтер;"HP LJ 4350";130004068;CNHXS29670;30*1*01644;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";130005107;CZC735518H;30*1*01704;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";130005108;CZC735519J;30*1*01703;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";130005109;CZC7483V2R;30*1*01702;Списание;
СКЛАД;СКЛАД;;Принтер;"HP LJ 4350";156808;CNHXC94621;30*1*01290;Списание;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140006908;W3018503372;304140006908;Ремонт;
СКЛАД;СКЛАД;;Ноутбук;"HP 4520";130013543;2CE1170C3W;303130013543;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01560;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";130018541;JMX1525Z16Q;303130018541;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140008814;W3018700802;304140008814;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130014102;3CQ117B715;303130014102;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130014100;CNC104Q66R;303130014100;Хранение;
СКЛАД;СКЛАД;;Маршрутизатор;"cisco 891";130014376;FCZ151390Y7;303130014376;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";123118;CZC6343DZZ;30*1*00646;Списание;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140008495;Z2U1BAAB201804T;304140008495;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";163279;HUB7411HWR;30*1*01505;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";119238;HUB6320HRS;30*1*00478;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";158469;CZC73541KX;30*1*01767;Списание;
СКЛАД;СКЛАД;;МФУ;"Xerox 4118";140002592;3841637061;304140002592;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";163275;HUB7411HR5;30*1*01501;Списание;
СКЛАД;СКЛАД;;Принтер;"HP 1018";121842;VNC3P17805;05*1*00670;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";158466;CZC73541N0;30*1*01764;Хранение;
СКЛАД;СКЛАД;;Принтер;"HP LJ 4350";150058;CNHXN35185;30*1*01150;Списание;
СКЛАД;СКЛАД;;Принтер;"HP LJ 4350";142806;CNHXN10058;30*1*01060;Списание;
СКЛАД;СКЛАД;;МФУ;"Ricoh 1515";136822;K2169006071;30*1*01042;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";130005336;CZC735519B;30*1*01750;Хранение;
СКЛАД;СКЛАД;;МФУ;"Xerox M20i";140002201;3835400548;30*1*01640;Ремонт;
СКЛАД;СКЛАД;;Монитор;"HP L1706";130005031;CNT7310835;30*1*01735;Списание;
СКЛАД;СКЛАД;;Принтер;"HP LJ P3005n";130004117;CNK2P250556;303130004117;Списание;
СКЛАД;СКЛАД;;Монитор;"HP 1502";005043;CNC3510H2H;30*1*00068;Списание;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX-4220";140006632;9C66BFAZ803508X;304140006632;Списание;
СКЛАД;СКЛАД;;МФУ;"Xerox 4118";132488;3567610780;30*1*00878;Списание;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140013739;CNC5051WY9;304140013739;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130025779;CNT4257177;303130025779;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130025778;CNC4241P3L;303130025778;Хранение;
СКЛАД;СКЛАД;;Маршрутизатор;"cisco 891";130018799;Z1532C34W;303130018799;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140013738;;304140013738;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130025027;0511HLSB900514D;303130025027;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130025028;0511HLSB900691M;303130025028;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";;0511HLSB900507H;303130025029;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140013784;W3019413843;304140013784;Хранение;
СКЛАД;СКЛАД;;Маршрутизатор;"cisco 891";130018758;FCZ152495UJ;303130018758;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140010915;W3019303216;304140010915;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140010918;W3019303219;304140010918;Ремонт;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019946;CNC120Q9HC;303130019946;Хранение;
СКЛАД;СКЛАД;;Маршрутизатор;"cisco 891";130018714;FCZ152495U5;303130018714;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01072;Хранение;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140007682;Z2U1BFFB202638V;304140007682;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01477;Хранение;
СКЛАД;СКЛАД;;Ноутбук;"HP 630";130015916;5CB1193285;303130015916;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";;JMX143840K0;;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01474;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";130012131;JMX1516Z0D4;303130012131;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*012??;Хранение;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140008501;Z2Y1BAAB201800M;304140008501;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";130015370;1MK1526ZOC3;303130015370;Хранение;
СКЛАД;СКЛАД;;"3G роутер";Мегафон;;DQ6RAB1042401394;;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01487;Хранение;
СКЛАД;СКЛАД;;Ноутбук;"HP 4520";130014443;2CE12201VC;303130014443;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";163266;HUB7411HXG;30*1*01492;Ремонт;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01099;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";159819;CZC73541DX;30*1*01329;Ремонт;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01162;Хранение;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140008494;Z2U1BAAB201814W;304140008494;Хранение;
СКЛАД;СКЛАД;;Концентратор;3COM;;9XUQ7C000345A;;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";130015351;JMX1526Z0BM;303130015351;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01454;Хранение;
СКЛАД;СКЛАД;;МФУ;"Xerox 4118";132496;3567607673;30*1*00886;Списание;
СКЛАД;СКЛАД;;Монитор;"HP L1706";123236;CNN6281K7V;30*1*00721;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7700";159827;CZC73541JS;30*1*01337;Списание;
СКЛАД;СКЛАД;;Монитор;"HP L1702";100480;CNC42214CM;30*1*00110;Списание;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140008491;Z2U1BAAB201803L;304140008491;Хранение;
СКЛАД;СКЛАД;;Ноутбук;"HP 630";130020424;5CB13611FT;303130020424;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01557;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";130015458;JMX1525Z16K;303130015458;Хранение;
СКЛАД;СКЛАД;;Ноутбук;"HP 4520";130013507;2CE1170C3L;303130013507;Ремонт;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01754;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";130012700;GMX151640EB;303130012700;Хранение;
СКЛАД;СКЛАД;;"Межсетевой экран";"cisco ASA 5505";130012591;JMX151640R7;303130012591;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01114;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01190;Хранение;
СКЛАД;СКЛАД;;Концентратор;3COM;;9XUQ7C00033B1;30*2*01310;Хранение;
СКЛАД;СКЛАД;;Нетбук;HP3100;130012337;CNC0492T0B;303130012337;Ремонт;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140010429;W3019207002;304140010429;Ремонт;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019052;3CQ126BKB3;303130019052;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019043;3CQ127BKBX;303130019043;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140010439;W3019206992;304140010439;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140010440;W3019207005;304140010440;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019054;3CQ126BKBH;303130019054;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019042;3CQ126BKBG;303130019042;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130019053;3CQ126BKBK;303130019053;Хранение;
СКЛАД;СКЛАД;;Коммутатор;"Cisco 2960";130018466;FCQ1524Z2RM;303130018466;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130024892;0511HLSB900677Х;303130024892;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130024887;0511HLSB900754X;303130024887;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130024889;0511HLSB900556W;303130024889;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130024891;0511HLSB900619N;303130024891;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130024893;0511HLSB900795W;303130024893;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130024890;0511HLSB900766D;303130024890;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140013645;W3019507186;304140013645;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140013643;W3019413686;304140013643;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140013644;W3019507569;304140013644;Хранение;
СКЛАД;СКЛАД;;Коммутатор;"Cisco 2960";130018155;FCQ1524Z2PK;303130018155;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";119231;HUB62716SM;30*1*00471;Хранение;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX-4220";140006208;;30*1*01894;Списание;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130023585;0511HLPB901010M;303130023585;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130023593;0511HLPB901048J;303130023593;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140012360;W3019317040;304140012360;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140012362;W3019317559;304140012362;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130023592;0511HLPB901294X;303130023592;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140012361;W3019317977;304140012361;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130023591;0511HLPB901247D;303130023591;Хранение;
СКЛАД;СКЛАД;;Коммутатор;"Cisco 2960";;;;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01369;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";125651;HUB6381924;30*1*00828;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";123160;CZC6341HF5;30*1*00688;Списание;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01476;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP L1706";141397;CNT64408V9;30*1*01014;Списание;
СКЛАД;СКЛАД;;Монитор;"HP L1706";109037;CNT534249J;30*1*00396;Списание;
